Descrição;Categoria
Acessórios bike 12/12;Despesas Pessoais
Acessórios bike 2/12;Despesas Pessoais
Acessórios bike 3/12;Despesas Pessoais
Acessórios bike 4/12;Despesas Pessoais
Acessórios bike 5/12;Despesas Pessoais
Acessórios bike 6/12;Despesas Pessoais
Acessórios bike 7/12;Despesas Pessoais
Acessórios bike 8/12;Despesas Pessoais
Acessórios bike 9/12;Despesas Pessoais
Acetona Momoi;Mercado
Acom Mkt Place;Outros Gastos
Açougue;Mercado
Adailsa 1/3;Outros Gastos
Adailsa 2/3;Outros Gastos
Adailsa 3/3;Outros Gastos
Ademar;Outros Gastos
Adesivos;Despesas Pessoais
Adesivos Carro 1/2;Despesas Pessoais
Adesivos Carro 2/2;Despesas Pessoais
Adesivos Menina do Bolo;Despesas Pessoais
Adestrador;Despesas Pessoais
Adestramento;Despesas Pessoais
Adiantamento;Receitas
Adiantamento 1;Receitas
Adiantamento 2;Receitas
Adiantamento mês seguinte;Receitas
Adiantamento NU;Financeiro
Adiantamento Resc;Receitas
Adiantar fatura NU;Financeiro
Adicional da estadia;Lazer e Entretenimento
Administradora;Outros Gastos
Adolfo;Pets
Adolfo 1/2;Pets
Adolfo 2/2;Pets
Adriana;Receitas
Advil momoi;Mercado
AF;Lazer e Entretenimento
Afiação Marilia;Despesas Pessoais
Afogador Biz;Veículo
Água;Essenciais
Água de coco;Delivery
Água pedalada;Despesas Pessoais
Água praia;Delivery
Air Saúde 3/6;Saúde
Air Saúde 4/6;Saúde
Air Saúde 5/6;Saúde
Air Saúde 6/6;Saúde
Airbnb Casamento 1/2;Lazer e Entretenimento
Airbnb Casamento 2/2;Lazer e Entretenimento
Airbnb seu mario;Lazer e Entretenimento
Airdots e MiBand 1/10;Despesas Pessoais
Airdots e MiBand 10/10;Despesas Pessoais
Airdots e MiBand 2/10;Despesas Pessoais
Airdots e MiBand 3/10;Despesas Pessoais
Airdots e MiBand 4/10;Despesas Pessoais
Airdots e MiBand 5/10;Despesas Pessoais
Airdots e MiBand 6/10;Despesas Pessoais
Airdots e MiBand 7/10;Despesas Pessoais
Airdots e MiBand 8/10;Despesas Pessoais
Airdots e MiBand 9/10;Despesas Pessoais
Airdots Marilia;Despesas Pessoais
Ajuda Marilia;Outros Gastos
Ajuda momoi;Outros Gastos
Ajudantes;Casa
Ajudona momoi;Outros Gastos
Ajuste;Financeiro
Ajuste CC;Financeiro
Ajuste Marilia;Financeiro
Ajuste NU;Financeiro
Akbar;Lazer e Entretenimento
Alargador;Despesas Pessoais
Alaska;Delivery
Albas Balas de Coco;Despesas Pessoais
Alberta;Lazer e Entretenimento
Ale Conde;Outros Gastos
Alfajor;Delivery
Ali express;Despesas Pessoais
Aliança 1/4;Despesas Pessoais
Aliança 2/4;Despesas Pessoais
Aliança 3/4;Despesas Pessoais
Aliança 4/4;Despesas Pessoais
Alicates momoi;Despesas Pessoais
Aliexpress;Despesas Pessoais
All Star;Despesas Pessoais
All star;Despesas Pessoais
All you need is kill 2;Despesas Pessoais
Allegra;Mercado
Almoço 09/09/15;Delivery
Almoço 20/03;Delivery
Almoço 20/3/17;Delivery
Almoço 24/01;Delivery
Almoço 25/05/2016;Delivery
Almoço Angélica;Delivery
Almoço Anne;Delivery
Almoço apresentação;Delivery
Almoço Beauty Fair;Delivery
Almoço BK;Delivery
Almoço Bruno;Delivery
Almoço chefinho;Delivery
Almoço com o chefe;Delivery
Almoço curso;Delivery
Almoço dedetização;Delivery
Almoço do taco;Delivery
Almoço e coisas da Marilia;Delivery
Almoço equipe;Delivery
Almoço equipe YB;Delivery
Almoço Fatec;Delivery
Almoço Fest Jp;Delivery
Almoço Geek Matsuri;Delivery
Almoço homeoffice;Delivery
Almoço Jão;Delivery
Almoço Jaqueline;Delivery
Almoço João 19/10/2015;Delivery
Almoço Leo;Delivery
Almoço lib;Delivery
Almoço Marilia;Delivery
Almoço Marilia 21/01/2016;Delivery
Almoço Marilia 23/10/2015;Delivery
Almoço Minaw;Delivery
Almoço Moraes 08/09/15;Delivery
Almoço obra;Delivery
Almoço padaria;Delivery
Almoço Paranapiacaba;Delivery
Almoço Pedal Karine;Delivery
Almoço Pedal Marlene;Delivery
Almoço Pedal Murillo;Delivery
Almoço Pedro;Delivery
Almoço sábado;Delivery
Almoço Sandra;Delivery
Almoço Shiva;Delivery
Almoço tattoo Minaw;Delivery
Almoço tela;Delivery
Almoço viagem;Delivery
Almoço visita;Delivery
Almoço YB;Delivery
Almoço YB Anderson;Delivery
Almoço YB Dani;Delivery
Almoço YB Regina;Delivery
Alphamake;Despesas Pessoais
Alterego;Outros Gastos
Alternador 1/2;Veículo
Alternador 2/2;Veículo
Aluguel 7;Essenciais
Aluguel casamento;Lazer e Entretenimento
Alura 1/24;Educação
Alura 10/24;Educação
Alura 11/24;Educação
Alura 12/24;Educação
Alura 13/24;Educação
Alura 14/24;Educação
Alura 15/24;Educação
Alura 16/24;Educação
Alura 17/24;Educação
Alura 18/24;Educação
Alura 19/24;Educação
Alura 2/24;Educação
Alura 20/24;Educação
Alura 21/24;Educação
Alura 22/24;Educação
Alura 23/24;Educação
Alura 24/24;Educação
Alura 3/24;Educação
Alura 4/24;Educação
Alura 5/24;Educação
Alura 6/24;Educação
Alura 7/24;Educação
Alura 8/24;Educação
Alura 9/24;Educação
Amazon;Despesas Pessoais
Amazon 1/2;Despesas Pessoais
Amazon 2/2;Despesas Pessoais
Amazon Prime;Lazer e Entretenimento
Amazon.Com.Br Amazon S 1/5;Despesas Pessoais
Amazon.Com.Br Amazon S 2/5;Despesas Pessoais
Amazon.Com.Br Amazon S 3/5;Despesas Pessoais
Amazon.Com.Br Amazon S 4/5;Despesas Pessoais
Amazon.Com.Br Amazon S 5/5;Despesas Pessoais
Americanas;Despesas Pessoais
Americanas Com 1/8;Despesas Pessoais
Americanas Com 2/8;Despesas Pessoais
Americanas Com 3/8;Despesas Pessoais
Americanas Com 4/8;Despesas Pessoais
Americanas Com 5/8;Despesas Pessoais
Americanas Com 6/8;Despesas Pessoais
Americanas Com 7/8;Despesas Pessoais
Americanas Com 8/8;Despesas Pessoais
Amigo secreto Mãe;Despesas Pessoais
Amigo secreto Marilia;Despesas Pessoais
Amigo secreto YB;Despesas Pessoais
Amolador;Casa
Amor doce;Lazer e Entretenimento
Amort AP;Essenciais
Amort Heydi;Essenciais
Amortização AP;Essenciais
Ana Maria Gonçalves;Outros Gastos
Anco;Mercado
Andy Cabos;Casa
Angela 2/2;Pets
Animal Place;Pets
Anime Friends;Lazer e Entretenimento
Anime Friends 1/2;Lazer e Entretenimento
Anime Friends 2/2;Lazer e Entretenimento
Aniv Bruno;Lazer e Entretenimento
Aniv Carol;Lazer e Entretenimento
Aniv Shiva;Lazer e Entretenimento
