Descrição;Categoria
Docinhos;Delivery
Dog;Pets
Dogão;Delivery
Dogão Onois;Delivery
DOGÃO QUE NÃO É DE OSASCO;Delivery
Dominos;Delivery
Don Pancho;Delivery
Don Pancho Mariana;Delivery
Don Rafaello;Delivery
Dona Deola;Delivery
DonPancho;Delivery
Donut viagem;Delivery
Donuts Cinema;Delivery
Dorinhos 1/5;Despesas Pessoais
Dorinhos 2/5;Despesas Pessoais
Dorinhos 3/5;Despesas Pessoais
Dorinhos 4/5;Despesas Pessoais
Dorinhos 5/5;Despesas Pessoais
DOSSES;Delivery
DrConsulta 1/3;Saúde
DrConsulta 2/3;Saúde
DrConsulta 3/3;Saúde
Dremel;Casa
Droga raia;Mercado
Drogaria;Mercado
Drogaria 1/2;Mercado
Drogaria 1/4;Mercado
Drogaria 2/2;Mercado
Drogaria 2/4;Mercado
Drogaria 3/4;Mercado
Drogaria 4/4;Mercado
Drogaria colírio;Mercado
Drogaria Comte Sampaio;Mercado
Drogaria na praia;Mercado
Drogaria praia;Mercado
Drogasil;Mercado
Drograria praia;Mercado
Dulce A 1/3;Pets
Dulce A 2/3;Pets
Dulce A 3/3;Pets
Ebanx-Spo;Lazer e Entretenimento
Ebanx-Spotify;Lazer e Entretenimento
EC;Outros Gastos
Ec*Trocafone 2/10;Despesas Pessoais
Economart;Casa
Edredons;Casa
El Shaday;Delivery
Elden Ring 1/3;Lazer e Entretenimento
Elden Ring 2/3;Lazer e Entretenimento
Elden Ring 3/3;Lazer e Entretenimento
Elden Ring Meu 1/3;Lazer e Entretenimento
Elden Ring Meu 2/3;Lazer e Entretenimento
Elden Ring Meu 3/3;Lazer e Entretenimento
Eletrônicos;Despesas Pessoais
Eletropaulo 10;Essenciais
Eletropaulo 12;Essenciais
Eletropaulo Casa nova;Essenciais
Embalagens;Mercado
Embalagens festa;Mercado
Embalagens Lilicakes;Mercado
Emerson;Mercado
Emp. Nu A;Financeiro
Emp. Nu B;Financeiro
Emp. Nuconta Dez 1/10;Financeiro
Emp. Nuconta Dez 2/10;Financeiro
Emp. Nuconta Dez 3/10;Financeiro
Emp. Nuconta Dez 4/10;Financeiro
Emp. sep cont;Financeiro
Empório;Mercado
Emporio da Cerveja;Delivery
Emporio Plus Market;Delivery
Empr banc 1/5;Financeiro
Empr banc 2/5;Financeiro
Empr Jão PP;Financeiro
Empr Pedro;Financeiro
Empr poup 1/5;Financeiro
Empr poup 2/5;Financeiro
Empr poup 3/5;Financeiro
Empr poup 4/5;Financeiro
Empr poup 5/5;Financeiro
Emprésitmo;Financeiro
Emprest Veronica;Financeiro
Empréstimo 0/10;Financeiro
Empréstimo 0/6;Financeiro
Empréstimo 1/1;Financeiro
Empréstimo 1/10;Financeiro
Empréstimo 1/15;Financeiro
Empréstimo 1/2;Financeiro
Empréstimo 1/5;Financeiro
Empréstimo 1/6;Financeiro
Empréstimo 1/7;Financeiro
Empréstimo 2;Financeiro
Empréstimo 2 1/10;Financeiro
Empréstimo 2 2/10;Financeiro
Empréstimo 2/10;Financeiro
Empréstimo 2/15;Financeiro
Empréstimo 2/5;Financeiro
Empréstimo 2/7;Financeiro
Empréstimo 3/10;Financeiro
Empréstimo 3/7;Financeiro
Empréstimo 4/10;Financeiro
Empréstimo A;Financeiro
Empréstimo adiantamento;Financeiro
Empréstimo Aluguel;Financeiro
Empréstimo B;Financeiro
Empréstimo B 0/10;Financeiro
Empréstimo banco;Financeiro
Empréstimo Banco 2/24 8;Financeiro
Empréstimo Banco 2/6 10;Financeiro
Empréstimo Banco 3/6 10;Financeiro
Empréstimo Banco 4/6 10;Financeiro
Empréstimo Banco 5/6 10;Financeiro
Empréstimo Banco 6/6 10;Financeiro
Empréstimo C;Financeiro
Empréstimo CC Marilia;Financeiro
Empréstimo cobrir jv;Financeiro
Empréstimo cobrir marilia;Financeiro
Empréstimo consig;Financeiro
Empréstimo D;Financeiro
Empréstimo E;Financeiro
Empréstimo Emerg;Financeiro
Empréstimo F;Financeiro
Empréstimo fim fev 0/1;Financeiro
Empréstimo fim fev 1/1;Financeiro
Empréstimo Jão;Financeiro
Empréstimo MAR.A;Financeiro
Empréstimo MAR.B;Financeiro
Empréstimo Mariana;Financeiro
Empréstimo Marilia;Financeiro
Empréstimo momoi bingo;Financeiro
Empréstimo NuBank A;Financeiro
Empréstimo NuBank A 1/3;Financeiro
Empréstimo Nubank B;Financeiro
Empréstimo NuConta;Financeiro
Empréstimo pedro;Financeiro
Empréstimo Pedro;Financeiro
Empréstimo poup;Financeiro
Empréstimo poupança;Financeiro
Empréstimo poupança 1/4;Financeiro
Emprestimo tattoo;Financeiro
Empréstimo tattoo;Financeiro
Empréstimo total Abr;Financeiro
Empréstimo total Mar;Financeiro
Empréstimos;Financeiro
Enargos;Financeiro
Encadernações;Despesas Pessoais
Encanto;Lazer e Entretenimento
Encargo;Financeiro
Encargos limite;Financeiro
Enel data de corte;Essenciais
Enel Fev Atrasada;Essenciais
Energético;Mercado
Enfeites de Natal;Casa
Enfeites Jão;Casa
Enfeites Marilia;Casa
Entrada celular;Despesas Pessoais
Entrada Fest Jp;Lazer e Entretenimento
Envio C6;Essenciais
Envio Itaú;Essenciais
Enxovais;Essenciais
Enxovais Bianca;Despesas Pessoais
Epocler;Mercado
Equip João 1/12;Despesas Pessoais
Equip João 2 a 12/12;Despesas Pessoais
Escape;Lazer e Entretenimento
Escape 60;Lazer e Entretenimento
Escova momoi;Despesas Pessoais
Esfiha almoço;Delivery
Esfiha CFC;Delivery
Esfiha Chic;Delivery
Esfiha imigrantes;Delivery
Esfiha Jão;Delivery
Esfiha Leo;Delivery
Esfiha momoi;Delivery
Esfiha momoi 12/10;Delivery
Esfiha Mustafa;Delivery
Esfiha Pedro;Delivery
Esfiha Sensei;Delivery
Esfihas;Delivery
Esfihas Dona Marlene;Delivery
Esfihas Murine;Delivery
Eskala 1/3;Despesas Pessoais
Eskala 2/3;Despesas Pessoais
Eskala 3/3;Despesas Pessoais
Espada do Finn;Lazer e Entretenimento
Espaleira 1/3;Despesas Pessoais
Espaleira 2/3;Despesas Pessoais
Espaleira 3/3;Despesas Pessoais
Espeto e bombacha;Delivery
Esquadrão suicida;Lazer e Entretenimento
Esquimó;Mercado
Essências Marilia;Despesas Pessoais
Estac. Anime Friends;Lazer e Entretenimento
Estac/Ped;Transporte
Estac/ped;Transporte
Estac/Ped cachorródromo;Transporte
Estac/Ped Raijin;Transporte
Estac/Ped YB;Transporte
Estacionamento;Transporte
Estacionamento exposição;Transporte
Estacionamento Giovanna;Transporte
Estacionamento Show;Transporte
Estorno;Financeiro
"Estorno de ""Paypal -Mobly""";Financeiro
Estorno Jaqueta;Financeiro
Estorno Luva;Financeiro
Estorno Tarifa;Financeiro
Estorno Tênis;Financeiro
Etiquetas Menina do Bolo;Despesas Pessoais
EVA Cosplay;Despesas Pessoais
EVA YB 1/12;Despesas Pessoais
EVA YB antec;Despesas Pessoais
Eventim;Lazer e Entretenimento
Exame;Saúde
Exame CNH;Veículo
Exame Orbscan;Saúde
Exames;Saúde
Exclusiva;Despesas Pessoais
Extensão Joli;Casa
Extra;Mercado
Extra cartão momoi;Despesas Pessoais
Extra Marilia;Despesas Pessoais
Extras da nuconta;Despesas Pessoais
Extras mudança;Despesas Pessoais
Fabi;Outros Gastos
Fabiana cristina;Outros Gastos
Fabiana Cristina Machado;Outros Gastos
Faculdade;Educação
Fall Guys 1/3;Lazer e Entretenimento
Fall Guys 2/3;Lazer e Entretenimento
Fall Guys 3/3;Lazer e Entretenimento
Fallout 4 1/5;Lazer e Entretenimento
Fallout 4 3/5;Lazer e Entretenimento
Fallout Board Game 1/12;Lazer e Entretenimento
Fallout Board Game 10/12;Lazer e Entretenimento
Fallout Board Game 11/12;Lazer e Entretenimento
Fallout Board Game 12/12;Lazer e Entretenimento
Fallout Board Game 2/12;Lazer e Entretenimento
Fallout Board Game 3/12;Lazer e Entretenimento
Fallout Board Game 4/12;Lazer e Entretenimento
Fallout Board Game 5/12;Lazer e Entretenimento
Fallout Board Game 6/12;Lazer e Entretenimento
Fallout Board Game 7/12;Lazer e Entretenimento
Fallout Board Game 8/12;Lazer e Entretenimento
Fallout Board Game 9/12;Lazer e Entretenimento
Faltou cartão Marilia;Despesas Pessoais
Fanta;Mercado
Fantasias;Lazer e Entretenimento
Farmácia;Mercado
Farmácia (parte abaixo);Mercado
Farmácia São Paulo;Mercado
Farol celta;Veículo
Fast Shop Vl Gertrude 10/10;Despesas Pessoais
FastShop 1/10;Despesas Pessoais
FastShop 2/10;Despesas Pessoais
FastShop 3/10;Despesas Pessoais
FastShop 4/10;Despesas Pessoais
FastShop 5/10;Despesas Pessoais
FastShop 6/10;Despesas Pessoais
FastShop 7/10;Despesas Pessoais
FastShop 8/10;Despesas Pessoais
FastShop 9/10;Despesas Pessoais
Fat NU;Despesas Pessoais
Fatal Frame 1/3;Lazer e Entretenimento
Fatal Frame 2/3;Lazer e Entretenimento
Fatal Frame 3/3;Lazer e Entretenimento
Fate e One punch;Lazer e Entretenimento
Fate Stay Night;Lazer e Entretenimento
Fatura até dia 25/11;Despesas Pessoais
Fatura Inter;Despesas Pessoais
Fatura Inter ;Despesas Pessoais
Fatura Itau;Despesas Pessoais
Fatura Marilia;Despesas Pessoais
Fatura momoi;Despesas Pessoais
Fatura Nov;Despesas Pessoais
Fatura NU paga pela NuConta;Despesas Pessoais
Faxina;Essenciais
Faxina extra natal;Essenciais
Fechadura casa;Casa
Fechamento;Financeiro
Feijoada;Mercado
Feijoada Jão Bea;Financeiro
Feijoada Leo;Financeiro
Feira;Mercado
Feira - Poup;Mercado
Feira P;Mercado
Feitiços;Lazer e Entretenimento
Fellows;Lazer e Entretenimento
Férias;Receitas
Férias - Extras;Receitas
Fernando Turbiani;Outros Gastos
Ferramentas;Despesas Pessoais
Ferramentas 1/12;Despesas Pessoais
Ferramentas 1/3;Despesas Pessoais
Ferramentas 10/12;Despesas Pessoais
Ferramentas 11/12;Despesas Pessoais
Ferramentas 12/12;Despesas Pessoais
Ferramentas 2/12;Despesas Pessoais
Ferramentas 2/3;Despesas Pessoais
Ferramentas 3/12;Despesas Pessoais
Ferramentas 3/3;Despesas Pessoais
Ferramentas 4/12;Despesas Pessoais
Ferramentas 5/12;Despesas Pessoais
Ferramentas 6/12;Despesas Pessoais
Ferramentas 7/12;Despesas Pessoais
Ferramentas 8/12;Despesas Pessoais
Ferramentas 9/12;Despesas Pessoais
Festa;Despesas Pessoais
Festa de aniversário;Despesas Pessoais
Festa Jão Bruno;Despesas Pessoais
Festa Jão Karine;Despesas Pessoais
Festa Jão Leo;Despesas Pessoais
Festa Jão Marilia;Despesas Pessoais
Festa Marilia;Despesas Pessoais
Festa Pedro;Despesas Pessoais
Festa Pedro 1/2;Despesas Pessoais
Festa Pedro 2/2;Despesas Pessoais
Festinha Eliel;Despesas Pessoais
Festinha momoi;Despesas Pessoais
Festival japonês;Lazer e Entretenimento
FGTS;Financeiro
FGTS > NuConta;Financeiro
Fig Jão;Despesas Pessoais
FILTRO ;Casa
Filtro 1/5;Casa
Filtro 2/5;Casa
Filtro 3/5;Casa
Filtro 4/5;Casa
Filtro 5/5;Casa
Filtro gatos;Pets
Fim de ano YB Daniela Set;Financeiro
Fim de ano YB Douglas;Financeiro
Final plano vivo anterior;Essenciais
Financiamento;Financeiro
Financiamento comprador;Financeiro
Fira quadro;Outros Gastos
Fisioterapia 1/5;Saúde
Fisioterapia 2/5;Saúde
Fisioterapia 3/5;Saúde
Fisioterapia 4/5;Saúde
Fisioterapia 5/5;Saúde
Fissyrômetro YB;Outros Gastos
Fita etiquetadora YB;Despesas Pessoais
Fita mudança;Despesas Pessoais
Fitinhas Pirapora;Lazer e Entretenimento
Flauta;Despesas Pessoais
Flauta 1/10;Despesas Pessoais
Flauta 10/10;Despesas Pessoais
Flauta 2/10;Despesas Pessoais
Flauta 3/10;Despesas Pessoais
Flauta 4/10;Despesas Pessoais
Flauta 5/10;Despesas Pessoais
Flauta 6/10;Despesas Pessoais
Flauta 7/10;Despesas Pessoais
Flauta 8/10;Despesas Pessoais
Flauta 9/10;Despesas Pessoais
Flavia;Financeiro
Florence;Despesas Pessoais
Flores;Despesas Pessoais
Flying Sushi;Delivery
Fone Capinha;Despesas Pessoais
Fone novo;Despesas Pessoais
Fones;Despesas Pessoais
Forma Marilia;Despesas Pessoais
Forma momoi;Despesas Pessoais
Forminhas de gelo;Despesas Pessoais
Forminhas Olivia;Despesas Pessoais
Forno;Casa
Fortnite;Lazer e Entretenimento
Foto Hopi;Lazer e Entretenimento
Frangão;Delivery
Frango;Mercado
Frango assado;Delivery
Frango assado Guarujá;Delivery
Frango Leozão;Mercado
Franguinho;Delivery
Frans;Delivery
Frans Raijin;Delivery
Frappucino;Delivery
Frasco Nankin;Despesas Pessoais
Frascos Tattoo;Despesas Pessoais
Freela;Receitas
Frete livros;Despesas Pessoais
Frete Móveis;Casa
Frete móveis;Casa
Fritas;Delivery
Frongo;Delivery
Frutas Marilia;Mercado
Fukushima;Delivery
Fullmetal 1/2;Lazer e Entretenimento
Fullmetal 2/2;Lazer e Entretenimento
Funil inox;Casa
Fuoco Cidade Sp Comerc;Outros Gastos
Furadeira 1/12;Despesas Pessoais
Furadeira 10/12;Despesas Pessoais
Furadeira 11/12;Despesas Pessoais
Furadeira 12/12;Despesas Pessoais
Furadeira 2/12;Despesas Pessoais
Furadeira 3/12;Despesas Pessoais
Furadeira 4/12;Despesas Pessoais
Furadeira 5/12;Despesas Pessoais
Furadeira 6/12;Despesas Pessoais
Furadeira 7/12;Despesas Pessoais
Furadeira 8/12;Despesas Pessoais
Furadeira 9/12;Despesas Pessoais
Furadeira da poupança;Despesas Pessoais
G Lucco;Delivery
Gabi;Financeiro
Galantina Varejao de;Despesas Pessoais
Galinhas;Despesas Pessoais
Garapa;Delivery
Garrafinha Murillo;Despesas Pessoais
Garrafinhas;Despesas Pessoais
Gas;Essenciais
Gás;Essenciais
Gás 20;Essenciais
Gasolina YB;Transporte
Gatorade;Delivery
Gatos 1/3;Pets
Gatos 2/3;Pets
Gatos 3/3;Pets
Gatos mês anterior;Pets
Geilene;Outros Gastos
Geladeira;Casa
Geladeira YB;Financeiro
Gelo Sitio;Lazer e Entretenimento
Gimba YB;Financeiro
Google One;Essenciais
Google play;Essenciais
Google play momoi;Essenciais
Google Play X;Essenciais
GoPro 1/4;Despesas Pessoais
GoPro 2/4;Despesas Pessoais
GoPro 3/4;Despesas Pessoais
GoPro 4/4;Despesas Pessoais
Gorjeta iFood;Delivery
Goróis;Delivery
Gorois Karine e Murilo;Delivery
Goróis Leo;Delivery
Gorois Pedro;Delivery
Gorois Renan;Delivery
Gorois Wes;Delivery
GPM;Outros Gastos
Gráfica;Financeiro
Grafica RC;Financeiro
Graxa;Despesas Pessoais
Grelha nova 1/2;Casa
Grelha nova 2/2;Casa
Grin;Lazer e Entretenimento
GRIS;Lazer e Entretenimento
Grotos 1/3;Despesas Pessoais
Grotos 2/3;Despesas Pessoais
Grotos 3/3;Despesas Pessoais
GTA Marilia;Lazer e Entretenimento
Guarda chuva;Despesas Pessoais
Guardar rendimentos;Investimentos e Poupança
Guincho Hopi;Veículo
Gustavo Rodrigues;Outros Gastos
Habbibs;Delivery
Habib S;Delivery
Habibs;Delivery
Habibs praia;Delivery
Haburguer;Delivery
Hades 1/3;Lazer e Entretenimento
Hades 2/3;Lazer e Entretenimento
Hades 3/3;Lazer e Entretenimento
Haikai;Casa
Hakkopan;Delivery
Hamburguer;Delivery
Happy Hour YB;Financeiro
Harry Potter;Lazer e Entretenimento
Harumi;Delivery
HD Notebook;Despesas Pessoais
Helpling;Outros Gastos
Herandina;Outros Gastos
HH Anderson;Financeiro
HH Douglas;Financeiro
HH HO;Financeiro
HH Jaqueline;Financeiro
HH João;Financeiro
HH Karine;Financeiro
HH Lib;Financeiro
HH Regina;Financeiro
HH YB;Financeiro
HH YB João;Financeiro
HH YB Regina;Financeiro
Higienização Celta 1/3;Veículo
Higienização Celta 2/3;Veículo
Higienização Celta 3/3;Veículo
Himeya;Casa
Hira;Outros Gastos
Hirota;Delivery
Histórico escolar;Educação
Hopi Hari Joao e Marilia;Lazer e Entretenimento
Hopi Jão;Lazer e Entretenimento
Hopi Leo;Lazer e Entretenimento
Horizon Chase;Lazer e Entretenimento
Hotel dos gatos;Pets
HP Stuff;Despesas Pessoais
HP4;Lazer e Entretenimento
HQ Hora da Aventura;Lazer e Entretenimento
iFood;Delivery
IFood;Delivery
Ifood;Delivery
ifood;Delivery
Ifood Marilia;Delivery
iFood Marilia;Delivery
iFood Momoi;Delivery
iFood pendente reemb;Delivery
Ifood*Br;Delivery
iFraude;Delivery
Igor;Outros Gastos
Ikesaki;Despesas Pessoais
Ikesaki 1/2;Despesas Pessoais
Ikesaki 2/2;Despesas Pessoais
Ikesaki 2/4;Despesas Pessoais
Ikesaki Momoi;Despesas Pessoais
Ikesaki momoi;Despesas Pessoais
Ikesaki Momoi 1/3;Despesas Pessoais
Ikesaki Momoi 2/3;Despesas Pessoais
Ikesaki Momoi 3/3;Despesas Pessoais
Ikesaki T;Despesas Pessoais
Ikesaki T 1/4;Despesas Pessoais
Ikkousha;Delivery
Ilha do Maurício;Delivery
Imposto PJ;Essenciais
Impostos;Essenciais
Impressões;Despesas Pessoais
Impressora;Despesas Pessoais
Impressoras YB;Financeiro
Inciclo momoi;Despesas Pessoais
Ingred Fim de ano;Mercado
Ingredientes Lilicakes;Mercado
INGRESSO COM;Lazer e Entretenimento
Ingresso.Com;Lazer e Entretenimento
Inside;Lazer e Entretenimento
INSS;Essenciais
Insul film 1/3;Veículo
Insul film 2/3;Veículo
Insul film 3/3;Veículo
Inter;Financeiro
INTER;Financeiro
Interruptor;Casa
Interruptor YB;Financeiro
Inventure Restaurantes;Delivery
Invest NU;Investimentos e Poupança
Invest Poup;Investimentos e Poupança
Iof;Financeiro
iof;Financeiro
IOF Ali;Financeiro
IOF atraso;Financeiro
"IOF de ""Paypal *Gearbest""";Financeiro
"IOF de ""Paypal *Steam Games""";Financeiro
IOF empréstimo Celta;Financeiro
IOF Steam;Financeiro
IPTU;Essenciais
IPTU Extra;Essenciais
IPVA;Veículo
IPVA Celta;Veículo
Irmaos Kuniwoshi;Delivery
ITBI;Essenciais
Ivair;Outros Gastos
Janta;Delivery
Janta Fatec;Delivery
Janta fatec;Delivery
Janta Marilia;Delivery
Janta Pedro Juanita;Delivery
Janta Shiva;Delivery
Jantar;Delivery
Jantar Cinema;Delivery
Jantar João;Delivery
Jantar Lib;Delivery
Jantar LIB;Delivery
Jantar Libercon;Delivery
Jantar Libercon Dupli;Delivery
Jantar mamãe;Delivery
Jantar papai;Delivery
Jantar Raijin;Delivery
Jantar Shiva;Delivery
Jão;Financeiro
Jão (junto com fax acima);Financeiro
Jão AF;Financeiro
Jáo churras;Delivery
Jão Don Pancho;Delivery
Jão Marilia Split;Financeiro
Jão Mexicano;Delivery
Jão Poços;Lazer e Entretenimento
Jão rolê;Lazer e Entretenimento
Jão Rolê;Lazer e Entretenimento
Japa Murillo;Delivery
Japones;Delivery
Japs;Delivery
Japs momoi 1/2;Delivery
Jaqueta Gabi;Despesas Pessoais
Jaqueta momoi 1/12;Despesas Pessoais
Jaqueta momoi 10/12;Despesas Pessoais
Jaqueta momoi 11/12;Despesas Pessoais
Jaqueta momoi 12/12;Despesas Pessoais
Jaqueta momoi 2/12;Despesas Pessoais
Jaqueta momoi 3/12;Despesas Pessoais
Jaqueta momoi 4/12;Despesas Pessoais
Jaqueta momoi 5/12;Despesas Pessoais
Jaqueta momoi 6/12;Despesas Pessoais
Jaqueta momoi 7/12;Despesas Pessoais
Jaqueta momoi 8/12;Despesas Pessoais
Jaqueta momoi 9/12;Despesas Pessoais
Jaqueta moto 1/10;Veículo
Jaqueta moto 10/10;Veículo
Jaqueta moto 2/10;Veículo
Jaqueta moto 3/10;Veículo
Jaqueta moto 4/10;Veículo
Jaqueta moto 5/10;Veículo
Jaqueta moto 6/10;Veículo
Jaqueta moto 7/10;Veículo
Jaqueta moto 8/10;Veículo
Jaqueta moto 9/10;Veículo
Jaradi;Outros Gastos
Jasmin;Delivery
Jber;Delivery
Jeferson Cana;Delivery
Jhonny 2/5;Pets
Jhonny 3/5;Pets
Jhonny 4/5;Pets
Jhonny 5/5;Pets
João;Financeiro
João HH;Financeiro
Job;Receitas
Job Karine;Receitas
Jogo;Lazer e Entretenimento
Jogo 1/3;Lazer e Entretenimento
Jogo 2/3;Lazer e Entretenimento
Jogo 3/3;Lazer e Entretenimento
Joguete;Lazer e Entretenimento
Joguinho;Lazer e Entretenimento
Joguinho 1/3;Lazer e Entretenimento
Joguinho 2/3;Lazer e Entretenimento
Joguinho 3/3;Lazer e Entretenimento
Joguinho Marilia;Lazer e Entretenimento
Joguinhos Ludoteca MM;Lazer e Entretenimento
Johnny;Pets
Johnny A Exame;Pets
Johnny B Consulta;Pets
Johnny C 1/2;Pets
Johnny C 2/2;Pets
Johnny D Drogasil;Pets
Johnny E 1/2;Pets
Johnny E 2/2;Pets
Johnny F Remédios;Pets
Johnny G Drogaria;Pets
Johnny H;Pets
Johnny I Recover;Pets
Johnny Internação 3/3;Pets
Johnny J Internação;Pets
Johnny K Internação;Pets
Johnny L Internação 1/3;Pets
Johnny L Internação 2/3;Pets
Johnny L Internação 3/3;Pets
Johnny L Porto;Pets
Johnny M Porto;Pets
Johnny N Porto;Pets
Johnny P Porto;Pets
Johnny Q Porto;Pets
Johnny R Remédio;Pets
Johnny S Remédio;Pets
Johnny T Internação;Pets
Johnny U Cobasi;Pets
Johnny V Fluidoterapia;Pets
Johnny W Fluidoterapia;Pets
Johnny X;Pets
Johnny Y;Pets
Johnny Z;Pets
Joj;Lazer e Entretenimento
Joli;Casa
Joli 1/10;Casa
Joli 1/2;Casa
Joli 1/7;Casa
Joli 2/10;Casa
Joli 2/2;Casa
Joli 2/7;Casa
Joli cuba;Casa
Joli Lâmpadas 1/3;Casa
Joli Lâmpadas 2/3;Casa
Joli Lâmpadas 3/3;Casa
JOLI MATERIAIS CONSTRU;Casa
Jornal;Pets
Jornal dog;Pets
Jornal Dulce;Pets
Jose Carlos da Silva;Outros Gastos
José roberto;Outros Gastos
Joy;Outros Gastos
JR Silva;Outros Gastos
Jurassic;Delivery
Juros;Financeiro
Juros atraso;Financeiro
Juros Empr Geladeira;Financeiro
Juros empréstimo Nu;Financeiro
Juros mãe;Financeiro
JV - Adiantamento;Receitas
JV - Quinto dia;Receitas
Kaisen;Mercado
Kalunga;Despesas Pessoais
Kalunga 1/3;Despesas Pessoais
Kalunga 2/3;Despesas Pessoais
Kalunga 3/3;Despesas Pessoais
Kanaka;Outros Gastos
Kanui 1/6;Despesas Pessoais
Kanui 2/6;Despesas Pessoais
Kanui 3/6;Despesas Pessoais
Kanui 4/6;Despesas Pessoais
Kanui 5/6;Despesas Pessoais
Kanui 6/6;Despesas Pessoais
Kanui Com 1/4;Despesas Pessoais
Kanui Com 2/4;Despesas Pessoais
Kanui Com 3/4;Despesas Pessoais
Kanui Com 4/4;Despesas Pessoais
Karaoke;Lazer e Entretenimento
Karen;Financeiro
Karinão;Financeiro
Karine;Financeiro
Karine AF;Financeiro
Karine Bananas;Financeiro
Karine Costela;Delivery
Karine Rolê;Lazer e Entretenimento
Kaumam;Outros Gastos
Kazu;Delivery
Kazu do Shiva;Delivery
Kebabji;Delivery
KFC;Delivery
KFC Cineminha;Delivery
Kibom;Delivery
Kill La Kill;Lazer e Entretenimento
Kill La Kill 3;Lazer e Entretenimento
Kimchi;Mercado
Kirishima;Despesas Pessoais
Kirishima Jão;Despesas Pessoais
Kirishima Leo;Despesas Pessoais
Kit Doggo;Pets
Kit Doggo 1/6;Pets
Kit Doggo 2/6;Pets
Kit Doggo 3/6;Pets
Kit Doggo 4/6;Pets
Kit Doggo 5/6;Pets
Kit Doggo 6/6;Pets
Kit embreagem 1/5;Veículo
Kit embreagem 2/5;Veículo
Kit embreagem 3/5;Veículo
Kit embreagem 4/5;Veículo
Kit embreagem 5/5;Veículo
Klass pincéis;Despesas Pessoais
Km 18 Pet Shop;Pets
Koroke;Delivery
Korra;Lazer e Entretenimento
Kotay Sushy;Delivery
KSP Expansion;Lazer e Entretenimento
Kubo;Outros Gastos
Kung Fu;Lazer e Entretenimento
La Florence;Delivery
La mexicana com momoi;Delivery
Lachinho pré-viagem Marilia;Mercado
Laercio 1;Casa
Laercio 2;Casa
Lagarto;Mercado
Lamen;Delivery
Lámen;Delivery
Lâmpada biz 1/2;Veículo
Lâmpada biz 2/2;Veículo
Lâmpada Juju;Veículo
Lâmpadas;Casa
Lanchão;Delivery
Lanche;Delivery
Lanche academia;Delivery
Lanche Karen;Delivery
Lanche no CA;Delivery
Lanches;Delivery
Lanches com Momoi;Delivery
Lanchito momoi;Delivery
Lancho João;Delivery
Lanchonete Tapera;Delivery
Lanterna carro;Veículo
Lanterna Celta;Veículo
Laura azevedo;Outros Gastos
Lava Louça;Casa
Lava louça 1/4;Casa
Lava louça 2/4;Casa
Lava louça 3/4;Casa
Lava louça 4/4;Casa
Lava louças;Casa
Lava rapido;Veículo
Lava rápido;Veículo
Lava roupa 1/12;Casa
Lava roupa 1/5;Casa
Lava roupa 10/12;Casa
Lava roupa 11/12;Casa
Lava roupa 12/12;Casa
Lava roupa 2/12;Casa
Lava roupa 2/5;Casa
Lava roupa 3/12;Casa
Lava roupa 3/5;Casa
Lava roupa 4/12;Casa
Lava roupa 4/5;Casa
Lava roupa 5/12;Casa
Lava roupa 5/5;Casa
Lava roupa 6/12;Casa
Lava roupa 7/12;Casa
Lava roupa 8/12;Casa
Lava roupa 9/12;Casa
Lavagem Celta;Veículo
Lavanderia;Essenciais
Lavar carro;Veículo
Le Burgado;Delivery
Le Ville Paes e Doces;Delivery
Leandro;Outros Gastos
LEANDRO JOSE DOS SANT;Outros Gastos
Legging momoi;Despesas Pessoais
Legião;Delivery
Legião Leozão;Delivery
Leila;Outros Gastos
Leite e Salgados Seu Mario;Mercado
Lente Cosplay 1/3;Despesas Pessoais
Lente Cosplay 2/3;Despesas Pessoais
Lente Cosplay 3/3;Despesas Pessoais
Lente e demaquilante MOMOI;Despesas Pessoais
Leo;Financeiro
Leo Churras;Delivery
Leo Poços;Lazer e Entretenimento
Leo Rolê;Lazer e Entretenimento
Leo Split;Lazer e Entretenimento
Leozão;Financeiro
Leozão Avatar;Lazer e Entretenimento
Leroy;Casa
Leroy 1/3;Casa
Leroy 2/3;Casa
Leroy 3/3;Casa
LG Mercado;Outros Gastos
LiberFit;Despesas Pessoais
Liberfit;Despesas Pessoais
Licenciamento;Veículo
Licenciamento Biz;Veículo
Licenciamento Celta;Veículo
Licenciamento celta;Veículo
Licenciamento Juju;Veículo
Lima Limão;Despesas Pessoais
Limite;Financeiro
Limite de crédito;Financeiro
Limits 3;Lazer e Entretenimento
Limp Cx Dagua;Casa
Limpeza Adolfo 1/10;Pets
Limpeza Adolfo 10/10;Pets
Limpeza Adolfo 2/10;Pets
Limpeza Adolfo 3/10;Pets
Limpeza Adolfo 4/10;Pets
Limpeza Adolfo 5/10;Pets
Limpeza Adolfo 6/10;Pets
Limpeza Adolfo 7/10;Pets
Limpeza Adolfo 8/10;Pets
Limpeza Adolfo 9/10;Pets
Line;Outros Gastos
Liquidar empréstimo;Financeiro
Lismar 1/2;Outros Gastos
Lismar 2/2;Outros Gastos
Little Nightmares;Lazer e Entretenimento
Little Nightmares 1/3;Lazer e Entretenimento
Little Nightmares 2/3;Lazer e Entretenimento
Little Nightmares 3/3;Lazer e Entretenimento
Live Atila;Lazer e Entretenimento
Livre;Outros Gastos
Livro jogo;Lazer e Entretenimento
Livro leo;Lazer e Entretenimento
